brand,model,year,transmission,mileage,fuelType,engineSize
merc, CLA Class,2016,Manual,60872,Diesel,2.1
ford, Puma,2020,Manual,2000,Petrol,1.0
hyundi, IX35,2014,Manual,71289,Diesel,1.7
audi, A8,2016,Automatic,37235,Diesel,3.0
vauxhall, GTC,2017,Automatic,8596,Petrol,1.4
hyundi, I800,2018,Manual,37530,Diesel,2.5
toyota, GT86,2018,Manual,35228,Petrol,2.0
hyundi, Santa Fe,2019,Semi-Auto,4890,Diesel,2.2
toyota, Avensis,2009,Manual,148371,Diesel,2.0
ford, Grand C-MAX,2017,Manual,30519,Petrol,1.0
vauxhall, GTC,2016,Manual,11991,Petrol,2.0
ford, KA,2010,Manual,80000,Petrol,1.2
toyota, Avensis,2017,Automatic,31774,Petrol,1.8
audi, A8,2018,Semi-Auto,12195,Diesel,3.0
ford, Grand C-MAX,2017,Manual,17242,Diesel,1.5
vauxhall, Combo Life,2019,Manual,5315,Petrol,1.2
toyota, Hilux,2017,Manual,46498,Diesel,2.4
vauxhall, GTC,2017,Automatic,5817,Petrol,1.4
ford, Galaxy,2018,Manual,31504,Diesel,2.0
audi, A8,2011,Automatic,105000,Diesel,3.0
audi, A8,2017,Semi-Auto,37492,Diesel,3.0
toyota, GT86,2020,Manual,3250,Petrol,2.0
toyota, Supra,2019,Semi-Auto,327,Petrol,3.0
ford, KA,2012,Manual,74000,Diesel,1.2
skoda, Kamiq,2019,Automatic,1000,Petrol,1.5
merc, S Class,2018,Semi-Auto,12955,Diesel,3.0
vw, Caravelle,2019,Semi-Auto,7034,Diesel,2.0
bmw, 7 Series,2014,Automatic,53329,Diesel,3.0
merc, S Class,2015,Automatic,77719,Diesel,3.0
merc, S Class,2020,Semi-Auto,3999,Diesel,3.0
skoda, Yeti,2016,Semi-Auto,32174,Petrol,1.2
hyundi, IX20,2015,Automatic,29000,Petrol,1.6
vauxhall, Agila,2005,Manual,36000,Petrol,1.2
vauxhall, Combo Life,2019,Manual,1248,Diesel,1.5
bmw, 7 Series,2019,Semi-Auto,3200,Diesel,3.0
toyota, Hilux,2012,Manual,99600,Diesel,2.5
hyundi, I40,2015,Manual,33036,Diesel,1.7
vw, Beetle,2006,Manual,117000,Diesel,1.9
audi, Q8,2019,Semi-Auto,7606,Diesel,3.0
audi, SQ5,2015,Automatic,82820,Diesel,3.0
toyota, Verso,2011,Manual,74488,Petrol,1.6
ford, Fusion,2011,Manual,35006,Petrol,1.6
skoda, Rapid,2018,Manual,21500,Petrol,1.0
vw, Tiguan Allspace,2019,Automatic,9626,Diesel,2.0
vauxhall, GTC,2014,Manual,51099,Diesel,2.0
audi, A8,2018,Automatic,2249,Diesel,3.0
skoda, Yeti,2013,Automatic,36374,Petrol,1.2
merc, M Class,2015,Semi-Auto,43072,Diesel,2.1
ford, KA,2014,Manual,28883,Petrol,1.2
bmw, 6 Series,2017,Automatic,39890,Diesel,3.0
audi, Q8,2019,Automatic,6000,Diesel,3.0
bmw, M4,2018,Semi-Auto,7732,Petrol,3.0
bmw, X4,2017,Semi-Auto,25357,Diesel,3.0
merc, M Class,2004,Automatic,121000,Diesel,2.7
ford, Grand Tourneo Connect,2017,Manual,20122,Diesel,1.5
vw, Arteon,2019,Semi-Auto,6789,Diesel,2.0
vw, CC,2013,Automatic,41394,Diesel,2.0
merc, CLA Class,2016,Automatic,55700,Diesel,2.1
toyota, Prius,2017,Automatic,30687,Hybrid,1.8
hyundi, IX20,2016,Manual,15135,Petrol,1.4
bmw, X4,2014,Automatic,67210,Diesel,3.0
audi, A8,2017,Automatic,3793,Diesel,3.0
ford, Mustang,2017,Manual,21575,Petrol,5.0
ford, KA,2018,Manual,7916,Petrol,1.2
bmw, X6,2018,Semi-Auto,16334,Diesel,3.0
bmw, M4,2020,Semi-Auto,2000,Petrol,3.0
hyundi, Santa Fe,2018,Semi-Auto,31350,Diesel,2.2
bmw, 7 Series,2017,Automatic,20671,Diesel,3.0
toyota, Prius,2013,Automatic,84553,Hybrid,1.8
toyota, Land Cruiser,2014,Automatic,54000,Diesel,3.0
vw, Amarok,2018,Automatic,45325,Diesel,3.0
ford, Puma,2020,Manual,3214,Petrol,1.0
vw, Caravelle,2019,Automatic,50,Diesel,2.0
bmw, Z4,2020,Semi-Auto,1000,Petrol,2.0
merc, G Class,2016,Automatic,16000,Petrol,4.0
audi, A8,2019,Automatic,7890,Diesel,3.0
vw, Caravelle,2019,Automatic,3800,Diesel,2.0
ford, Puma,2019,Manual,1225,Petrol,1.0
vauxhall, GTC,2015,Manual,36538,Petrol,1.4
ford, Galaxy,2016,Manual,19406,Diesel,2.0
merc, CLA Class,2016,Automatic,34612,Diesel,2.1
vw, Scirocco,2015,Semi-Auto,17145,Petrol,2.0
toyota, Verso,2015,Manual,40857,Diesel,1.6
audi, RS3,2013,Semi-Auto,98386,Petrol,2.5
vw, Arteon,2019,Semi-Auto,6601,Diesel,2.0
ford, Grand C-MAX,2017,Manual,10373,Petrol,1.0
bmw, 7 Series,2016,Semi-Auto,24446,Petrol,3.0
vw, Shuttle,2019,Semi-Auto,3757,Diesel,2.0
vw, Amarok,2019,Automatic,8500,Diesel,3.0
vauxhall, Combo Life,2018,Manual,5486,Diesel,1.5
hyundi, IX35,2014,Manual,50993,Diesel,2.2
skoda, Scala,2019,Automatic,3882,Diesel,1.6
vw, Scirocco,2017,Semi-Auto,19458,Diesel,2.0
bmw, M6,2006,Semi-Auto,89000,Petrol,5.0
audi, A7,2013,Automatic,93080,Diesel,3.0
audi, A8,2016,Automatic,26818,Diesel,3.0
vw, Caravelle,2019,Semi-Auto,3365,Diesel,2.0
hyundi, Santa Fe,2017,Semi-Auto,29249,Diesel,2.2
merc, M Class,2015,Semi-Auto,44984,Diesel,3.0
toyota, Verso,2014,Manual,30437,Petrol,1.6
audi, A7,2013,Automatic,63250,Diesel,3.0
audi, RS4,2018,Semi-Auto,23249,Petrol,2.9
